year,mon,day,hour,minute,latitude,longitude
2020,08,08,14,54,65.47572333333333,12.210425
2020,08,04,02,44,70.59983666666666,23.249016666666666
2020,08,14,02,34,68.968175,15.64538
2020,08,15,04,34,70.73999833333333,23.630075
2020,08,05,04,24,70.04351,29.953223333333334
2020,08,10,07,04,61.46518666666667,4.94863
2020,08,13,19,34,68.23093166666666,14.56671
2020,08,13,19,04,68.23093666666666,14.566691666666667
2020,08,15,12,24,70.98072666666667,25.969661666666667
2020,08,09,15,44,63.105345,7.52732
2020,08,05,13,34,70.26667166666667,31.05390166666667
2020,08,08,10,14,66.04620333333334,12.639013333333333
2020,08,10,18,34,60.392786666666666,5.309851666666667
2020,08,08,10,54,66.01173833333333,12.556313333333334
2020,08,14,00,24,68.69171,15.432155
2020,08,15,01,14,70.42102333333334,22.553123333333332
2020,08,13,13,34,67.32302333333334,14.379921666666666
2020,08,05,03,14,70.185955,30.767853333333335
2020,08,14,21,14,70.09875833333334,21.067933333333333
2020,08,04,00,14,70.24075833333333,22.337446666666665
2020,08,14,16,04,69.64649333333334,18.960576666666668
2020,08,08,04,04,66.99266333333334,13.703375
2020,08,07,16,04,68.24137666666667,14.926878333333333
2020,08,14,01,24,68.76881333333333,15.430375
2020,08,13,13,54,67.39068833333333,14.430216666666666
2020,08,12,13,44,63.656058333333334,9.478478333333333
2020,08,12,11,44,63.45999666666667,10.300056666666666
2020,08,11,21,54,62.877903333333336,6.929075
2020,08,04,13,14,70.98069833333334,25.969433333333335
2020,08,14,19,34,70.01696333333334,20.599026666666667
2020,08,11,21,44,62.83470666666667,6.97663
2020,08,06,08,44,70.72315333333333,23.598291666666668
2020,08,05,09,34,69.72888333333333,30.071155
2020,08,05,11,24,69.88328,30.141961666666667
2020,08,11,04,54,62.113465,5.087903333333333
2020,08,07,21,14,67.989155,13.93984
2020,08,10,03,24,61.939483333333335,5.122891666666667
2020,08,07,10,24,68.70591833333333,15.42783
2020,08,06,17,14,70.10107333333333,21.065433333333335
2020,08,09,16,54,63.00045166666666,6.973621666666666
2020,08,06,07,44,70.91698666666667,24.175996666666666
2020,08,11,22,24,62.97634333333333,6.876973333333333
2020,08,07,23,44,67.42217333333333,14.446406666666666
2020,08,08,12,34,65.63782333333333,12.246051666666666
2020,08,05,05,44,70.05073333333333,29.725398333333334
2020,08,07,18,04,68.23092333333334,14.566711666666667
2020,08,08,07,24,66.57870166666666,12.978095
2020,08,09,11,24,63.470998333333334,8.92772
2020,08,12,07,14,63.46745333333333,10.175783333333333
2020,08,10,16,54,60.392786666666666,5.309856666666667
2020,08,13,18,54,68.21058666666667,14.552016666666667
2020,08,09,00,24,64.07914666666667,9.57846
2020,08,09,06,04,63.44358833333333,10.407458333333333
