year,mon,day,hour,minute,latitude,longitude,delta_lat,delta_lon,delta_pos
2020,8,4,7,24,70.9958316666667,24.7373683333333,0.001,0.047,0.047
2020,8,4,7,34,70.9946133333333,24.8653716666667,-0.001,0.128,0.128
2020,8,4,7,44,70.9901066666667,24.9980466666667,-0.005,0.133,0.133
2020,8,4,7,54,70.9884366666667,25.125695,-0.002,0.128,0.128
2020,8,4,8,4,70.9875083333333,25.1974783333333,-0.001,0.072,0.072
2020,8,4,8,14,70.985855,25.3300333333333,-0.002,0.133,0.133
2020,8,4,8,24,70.9621666666667,25.4463983333333,-0.024,0.116,0.119
2020,8,4,8,34,70.9342283333333,25.5252383333333,-0.028,0.079,0.084
2020,8,4,8,44,70.9287533333333,25.6323116666667,-0.005,0.107,0.107
2020,8,4,8,54,70.9357183333333,25.7348966666667,0.007,0.103,0.103
2020,8,4,9,4,70.9441516666667,25.8558533333333,0.008,0.121,0.121
2020,8,4,9,14,70.973165,25.9378283333333,0.029,0.082,0.087
2020,8,4,9,24,70.980735,25.96964,0.008,0.032,0.033
2020,8,4,9,34,70.9807366666667,25.9696216666667,0.000,0.000,0.000
2020,8,4,9,44,70.9807316666667,25.9696183333333,0.000,0.000,0.000
2020,8,4,9,54,70.9807333333333,25.9696233333333,0.000,0.000,0.000
2020,8,4,10,4,70.9807366666667,25.9696266666667,0.000,0.000,0.000
2020,8,4,10,14,70.980735,25.9696283333333,0.000,0.000,0.000
2020,8,4,10,24,70.9807333333333,25.9696283333333,0.000,0.000,0.000
2020,8,4,10,34,70.980735,25.9696316666667,0.000,0.000,0.000
2020,8,4,10,44,70.9807333333333,25.96963,0.000,0.000,0.000
2020,8,4,10,54,70.980725,25.9696233333333,0.000,0.000,0.000
2020,8,4,11,4,70.980725,25.9696233333333,0.000,0.000,0.000
2020,8,4,11,14,70.980725,25.9696283333333,0.000,0.000,0.000
2020,8,4,11,24,70.9807266666667,25.9696233333333,0.000,0.000,0.000
2020,8,4,11,34,70.9807283333333,25.969625,0.000,0.000,0.000
2020,8,4,11,44,70.9807383333333,25.9696166666667,0.000,0.000,0.000
2020,8,4,11,54,70.9807366666667,25.9696133333333,0.000,0.000,0.000
2020,8,4,12,4,70.9807383333333,25.9696166666667,0.000,0.000,0.000
2020,8,4,12,14,70.98074,25.9696166666667,0.000,0.000,0.000
2020,8,4,12,24,70.9807433333333,25.9696183333333,0.000,0.000,0.000
2020,8,4,12,34,70.980745,25.9696266666667,0.000,0.000,0.000
2020,8,4,12,44,70.9807483333333,25.96963,0.000,0.000,0.000
2020,8,4,12,54,70.9807466666667,25.9696333333333,0.000,0.000,0.000
2020,8,4,13,4,70.9807466666667,25.969635,0.000,0.000,0.000
2020,8,4,13,14,70.9806983333333,25.9694333333333,0.000,0.000,0.000
2020,8,4,13,24,70.9707383333333,25.950735,-0.010,-0.019,0.021
2020,8,4,13,34,70.9652783333333,26.0544783333333,-0.005,0.104,0.104
2020,8,4,13,44,70.9703083333333,26.223135,0.005,0.169,0.169
2020,8,4,13,54,70.9722733333333,26.2920016666667,0.002,0.069,0.069
2020,8,4,14,4,70.9775983333333,26.4771116666667,0.005,0.185,0.185
2020,8,4,14,14,70.9798266666667,26.61047,0.002,0.133,0.133
2020,8,4,14,24,70.9837083333333,26.741575,0.004,0.131,0.131
2020,8,4,14,34,70.9850283333333,26.8101066666667,0.001,0.069,0.069
2020,8,4,14,44,70.9866266666667,26.952305,0.002,0.142,0.142
2020,8,4,14,54,70.9881733333333,27.0870516666667,0.002,0.135,0.135
2020,8,4,15,4,70.9802433333333,27.2175833333333,-0.008,0.131,0.131
2020,8,4,15,14,70.95282,27.3216,-0.027,0.104,0.108
2020,8,4,15,24,70.949455,27.3358566666667,-0.003,0.014,0.015
2020,8,4,15,34,70.949445,27.33581,0.000,0.000,0.000
2020,8,4,15,44,70.9520533333333,27.32799,0.003,-0.008,0.008
2020,8,4,15,54,70.9557783333333,27.2998283333333,0.004,-0.028,0.028
2020,8,4,16,4,70.9566383333333,27.2968666666667,0.001,-0.003,0.003
2020,8,4,16,14,70.992435,27.2167983333333,0.036,-0.080,0.088
2020,8,4,16,24,71.0358783333333,27.198695,0.043,-0.018,0.047
2020,8,4,16,34,71.0649333333333,27.3002066666667,0.029,0.102,0.106
2020,8,4,16,44,71.0858433333333,27.390905,0.021,0.091,0.093
2020,8,4,16,54,71.1163733333333,27.52383,0.031,0.133,0.136
2020,8,4,17,4,71.1309166666667,27.5865166666667,0.015,0.063,0.064
2020,8,4,17,14,71.1304766666667,27.74513,0.000,0.159,0.159
2020,8,4,17,24,71.1072316666667,27.7892766666667,-0.023,0.044,0.050
2020,8,4,17,34,71.0618616666667,27.8295383333333,-0.045,0.040,0.061
2020,8,4,17,44,71.0618616666667,27.8295383333333,0.000,0.000,0.000
2020,8,4,17,54,71.0416666666667,27.8433333333333,-0.020,0.014,0.024
2020,8,4,18,4,71.0416666666667,27.8433333333333,0.000,0.000,0.000
2020,8,4,18,14,71.0731583333333,27.8636766666667,0.031,0.020,0.037
2020,8,4,18,24,71.09882,27.9680883333333,0.026,0.104,0.108
2020,8,4,18,34,71.1081316666667,28.0411333333333,0.009,0.073,0.074
2020,8,4,18,44,71.1269383333333,28.2013033333333,0.019,0.160,0.161
2020,8,4,18,54,71.1116666666667,28.2917733333333,-0.015,0.090,0.092
2020,8,4,19,4,71.0819833333333,28.403885,-0.030,0.112,0.116
2020,8,4,19,14,71.06549,28.4665483333333,-0.016,0.063,0.065
2020,8,4,19,24,71.025715,28.6161,-0.040,0.150,0.155
2020,8,4,19,34,71.0031433333333,28.7007066666667,-0.023,0.085,0.088
2020,8,4,19,44,70.97251,28.8163166666667,-0.031,0.116,0.120
2020,8,4,19,54,70.9586083333333,28.8683466666667,-0.014,0.052,0.054
2020,8,4,20,4,70.9290216666667,28.9789983333333,-0.030,0.111,0.115
2020,8,4,20,14,70.9013016666667,29.083295,-0.028,0.104,0.108
2020,8,4,20,24,70.8675516666667,29.13636,-0.034,0.053,0.063
2020,8,4,20,34,70.857375,29.11385,-0.010,-0.023,0.025
2020,8,4,20,44,70.857365,29.1138683333333,0.000,0.000,0.000
2020,8,4,20,54,70.8578116666667,29.1129433333333,0.000,-0.001,0.001
2020,8,4,21,4,70.86732,29.1445433333333,0.010,0.032,0.033
2020,8,4,21,14,70.8647066666667,29.262345,-0.003,0.118,0.118
2020,8,4,21,24,70.842345,29.363695,-0.022,0.101,0.104
2020,8,4,21,34,70.8253816666667,29.4346183333333,-0.017,0.071,0.073
2020,8,4,21,44,70.7970716666667,29.5522316666667,-0.028,0.118,0.121
2020,8,4,21,54,70.7676016666667,29.67476,-0.029,0.123,0.126
2020,8,4,22,4,70.7448633333333,29.7692866666667,-0.023,0.095,0.097
2020,8,4,22,14,70.7089866666667,29.82551,-0.036,0.056,0.067
2020,8,4,22,24,70.6661583333333,29.810645,-0.043,-0.015,0.045
2020,8,4,22,34,70.63385,29.74815,-0.032,-0.062,0.070
2020,8,4,22,44,70.630365,29.7282883333333,-0.003,-0.020,0.020
2020,8,4,22,54,70.6304166666667,29.728425,0.000,0.000,0.000
2020,8,4,23,4,70.6303633333333,29.7284416666667,0.000,0.000,0.000
2020,8,4,23,14,70.648135,29.7879833333333,0.018,0.060,0.062
2020,8,4,23,24,70.6747133333333,29.8468133333333,0.027,0.059,0.065
